名次,馬號,馬名,騎師,練馬師,排位體重,實際負磅,檔位,頭馬距離,沿途走位,完成時間,獨嬴賠率,horse_info_url,日期,場次,horse_id
1,10,飛騰騅 ,何澤堯,方嘉柏,1091,124.0,4,-,3 3 3 1,1:39.35,4.2,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E494,20/04/2024,1,E494
2,13,鷹勇猴王 ,鍾易禮,告東尼,1150,110.0,7,2-1/2,2 2 2 2,1:39.75,12.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G415,20/04/2024,1,G415
3,7,亞洲力量 ,布文,黎昭昇,1107,128.0,2,3-3/4,6 6 5 3,1:39.96,6.1,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E400,20/04/2024,1,E400
 4,14,綠登 ,楊明綸,蘇偉賢,1119,115.0,1,5-1/4,9 8 7 4,1:40.18,18.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E409,20/04/2024,1,E409
5,6,美滿星雲 ,蔡明紹,伍鵬志,1121,129.0,13,5-1/4,1 2 1 2 1 2 5,1:40.18,11.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G279,20/04/2024,1,G279
6,9,領航傳祺 ,潘明輝,鄭俊偉,1171,122.0,10,7,1 1 1 1 1 3 6,1:40.47,27.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G126,20/04/2024,1,G126
7,8,着着領先 ,黃智弘,葉楚航,1101,118.0,14,8,8 9 9 7,1:40.61,9.9,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G304,20/04/2024,1,G304
8,1,魅力一心 ,潘頓,蔡約翰,1178,135.0,3,8,1 0 1 0 8 8,1:40.64,5.6,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H195,20/04/2024,1,H195
9,12,東風壹號 ,希威森,廖康銘,1217,120.0,12,8-1/2,4 4 4 9,1:40.72,36.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G042,20/04/2024,1,G042
10,4,型到爆 ,田泰安,羅富全,1053,134.0,6,12-3/4,7 7 6 1 0,1:41.41,8.1,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_H011,20/04/2024,1,H011
